!Reaction time t (μs)	Pressure profile p/p0
0		                       1.000
50		                       1.004
250		                       1.027
450		                       1.046
650		                       1.062
850		                       1.072
1050	                       1.088
1250	                       1.101
1450	                       1.127
1650	                       1.157
1850	                       1.170
2050	                       1.160
2250	                       1.152
2450	                       1.153
2650	                       1.148
2850	                       1.143
3050	                       1.139
3250	                       1.136
3450	                       1.140
3650	                       1.142
3850	                       1.142
4050	                       1.153
4250	                       1.161
4450	                       1.168
4650	                       1.165
4850	                       1.166
5050	                       1.168
5250	                       1.170
5450	                       1.172
5650	                       1.175
5850	                       1.175
6050	                       1.178
6250	                       1.181
6450	                       1.184
6650	                       1.187
6850	                       1.189
7050	                       1.189
7250	                       1.188
7450	                       1.188
7650	                       1.190
7850	                       1.192
8000	                       1.192
10000	                       1.192
